time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-03 00:00:00+00:00,0,0,3,2
2022-01-04 00:00:00+00:00,0,0,28,1
2022-01-05 00:00:00+00:00,0,0,6,1
2022-01-06 00:00:00+00:00,8,8,170,11
2022-01-07 00:00:00+00:00,3,3,6,2
2022-01-08 00:00:00+00:00,1,1,2,1
2022-01-09 00:00:00+00:00,3,3,1,1
2022-01-10 00:00:00+00:00,3,2,23,2
2022-01-11 00:00:00+00:00,8,3,332,15
2022-01-12 00:00:00+00:00,3,2,108,11
2022-01-13 00:00:00+00:00,4,3,185,16
2022-01-14 00:00:00+00:00,1,1,2,1
2022-01-15 00:00:00+00:00,1,1,41,3
2022-01-16 00:00:00+00:00,1,1,34,2
2022-01-17 00:00:00+00:00,2,2,6,2
2022-01-18 00:00:00+00:00,5,4,76,11
2022-01-19 00:00:00+00:00,1,1,11,3
2022-01-20 00:00:00+00:00,1,1,38,9
2022-01-21 00:00:00+00:00,1,1,1,1
2022-01-22 00:00:00+00:00,2,2,3,1
2022-01-23 00:00:00+00:00,1,1,0,0
2022-01-24 00:00:00+00:00,2,1,0,0
